ltl_score,prism_probability,evaluation_time,size,goals,obstacles,complexity
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 0.0, 'complete_sequence': 0.0, 'avoid_obstacle': 1.0}",780.1893119812012,4,3,2,8
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",780.1903667449951,4,3,1,11
0.9414212315963584,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 0.0, 'complete_sequence': 0.0, 'avoid_obstacle': 1.0}",780.1740303039551,5,3,3,13
0.9999146407422553,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 0.0, 'complete_sequence': 0.0, 'avoid_obstacle': 1.0}",780.2305579185486,5,3,4,12
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 0.0, 'seq_2_before_3': 1.0, 'complete_sequence': 0.0, 'avoid_obstacle': 1.0}",780.0584850311279,5,3,4,13
1.0,"{'goal1': 1.0, 'goal2': 0.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 0.0, 'complete_sequence': 0.0, 'avoid_obstacle': 1.0}",780.0198645591736,5,3,2,17
1.0,"{'goal1': 1.0, 'goal2': 0.0, 'goal3': 0.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 0.0, 'complete_sequence': 0.0, 'avoid_obstacle': 1.0}",793.3241045475006,5,3,2,13
1.0,"{'goal1': 0.0, 'goal2': 0.0, 'goal3': 0.0, 'seq_1_before_2': 0.0, 'seq_2_before_3': 0.0, 'complete_sequence': 0.0, 'avoid_obstacle': 1.0}",793.3619582653046,5,3,3,8
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",793.3684358596802,5,3,4,8
1.0,"{'goal1': 1.0, 'goal2': 0.0, 'goal3': 0.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 0.0, 'complete_sequence': 0.0, 'avoid_obstacle': 1.0}",793.3508541584015,5,3,3,15
