sample_id,size,legacy_success,legacy_iterations,legacy_time,legacy_llm_calls,legacy_output_tokens,legacy_prompt_tokens,legacy_llm_time,legacy_prism_time,legacy_goal1,legacy_goal2,legacy_goal3,legacy_seq_1_before_2,legacy_seq_2_before_3,legacy_complete_sequence,legacy_avoid_moving_seg1,legacy_avoid_moving_seg2,legacy_avoid_moving_seg3,symbolic_success,symbolic_best_case_success,symbolic_iterations,symbolic_time,symbolic_llm_calls,symbolic_output_tokens,symbolic_prompt_tokens,symbolic_llm_time,symbolic_prism_time,symbolic_rules,symbolic_invalid_answers,symbolic_worst_avoid_moving_seg1,symbolic_worst_avoid_moving_seg2,symbolic_worst_avoid_moving_seg3,symbolic_worst_complete_sequence,symbolic_worst_goal1,symbolic_worst_goal2,symbolic_worst_goal3,symbolic_worst_seq_1_before_2,symbolic_worst_seq_2_before_3,symbolic_best_avoid_moving_seg1,symbolic_best_avoid_moving_seg2,symbolic_best_avoid_moving_seg3,symbolic_best_complete_sequence,symbolic_best_goal1,symbolic_best_goal2,symbolic_best_goal3,symbolic_best_seq_1_before_2,symbolic_best_seq_2_before_3,optimum_avoid_moving_seg1,optimum_avoid_moving_seg2,optimum_avoid_moving_seg3,optimum_complete_sequence,optimum_goal1,optimum_goal2,optimum_goal3,optimum_seq_1_before_2,optimum_seq_2_before_3,legacy_met,legacy_shortfall,symbolic_worst_met,symbolic_worst_shortfall,symbolic_best_met,symbolic_best_shortfall
10,6,False,5,338.0025670528412,15,10969,23806,331.3091893196106,6.682532548904419,1.0,1.0,1.0,0.664224305949121,0.15750614673637842,0.12296070970820373,0.14043050531832035,1.0,0.9899788508824964,False,False,5,152.81086134910583,5,6013,16243,144.53747725486755,6.886378049850464,35,0,0.9911741297053219,0.9985974609068032,1.0,0.002626499025984552,1.0,1.0,1.0,0.33305679610695005,0.00307797715529734,0.9911741297053219,0.9985974609068032,1.0,0.0026257031728625403,1.0,1.0,1.0,0.33305679610695005,0.003077177769660196,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,2.0148783322879766,6,2.0612387277117685,6,2.0612403229505274
11,6,False,5,337.31512093544006,15,11015,23426,330.63522720336914,6.668409585952759,1.0,1.0,1.0,0.7238315265683312,0.017386660844576844,0.012593099405491125,0.9772752871942036,0.5333047656760161,0.8054821708058739,False,False,5,185.47438526153564,5,4922,14680,176.9305555820465,7.181843042373657,37,0,0.958202212075469,0.7471729253748667,0.968867601931277,0.21500482973726132,1.0,1.0,1.0,0.5916151735772883,0.3807735381160139,0.958202212075469,0.7471729253748667,0.968867601931277,0.21489386474148908,1.0,1.0,1.0,0.5916151735772883,0.38059512250861244,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,1.812883947505585,6,1.2126064585694367,6,1.2128958391726103
12,7,False,5,479.2485930919647,15,16098,26489,472.5283992290497,6.706106424331665,0.02614467375250349,0.022476537881163914,0.002957670675153174,0.02614467375250349,0.02046237561867913,0.02046237561867913,1.0,0.996331877054783,1.0,False,False,5,285.21582412719727,5,8083,19811,276.73000955581665,7.042796850204468,64,0,0.8981272062877362,0.9597748500005605,1.0,0.24512896902086068,0.6913081193059413,0.3243966491036602,0.5635441643152032,0.6913081193059413,0.24512896902086068,0.8981272062877362,0.9597748500005605,1.0,0.24512843432828707,0.6913081193059413,0.3243966491036602,0.5635441643152032,0.6913081193059413,0.24512843432828707,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,4.681351692701318,3,2.0391850099275333,3,2.0391860793126804
13,7,False,5,483.6192126274109,15,15467,26099,476.90589928627014,6.700216054916382,0.03576861424544387,0.10734289295480101,0.02486391526581454,0.009143343126642944,0.007056305360338057,0.0018037730105788358,0.9967713403341665,0.9756316915610496,0.9897848861395856,False,False,5,281.64138627052307,5,8646,19166,273.1101350784302,7.128366708755493,61,0,0.7613606892214859,0.23865276714252737,1.0,0.0,0.7613472328574726,0.29295470858966766,1.0,0.6850477403856646,0.0,0.7613606892214859,0.23865276714252737,1.0,0.0,0.7613472328574726,0.29295470858966766,1.0,0.6850477403856646,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,4.614021156036381,3,2.7219975510246677,3,2.7219975510246677
14,7,False,5,493.3765034675598,15,16051,26627,486.57831263542175,6.7835447788238525,1.0,0.39559117683310885,0.0,0.6044085039780877,0.0,0.0,0.7232722861149307,1.0,1.0,False,False,5,129.5402591228485,5,1720,11895,121.39922308921814,6.782480001449585,14,0,0.9161616898205409,1.0,1.0,0.0,1.0,0.17647058145117187,1.0,0.8235294117623017,0.0,0.9161616898205409,1.0,1.0,0.0,1.0,0.17647058145117187,1.0,0.8235294117623017,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,3.000000319188804,6,2.2235294185488286,6,2.2235294185488286
15,7,False,5,493.60994482040405,15,15794,26474,486.8439383506775,6.752360820770264,0.0,0.008125247716914913,0.0,0.0,0.0,0.0,1.0,1.0,1.0,False,False,5,105.97480940818787,5,4696,13579,97.76181936264038,6.8477489948272705,26,0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,4.791874752283086,4,3.8999999999999995,4,3.8999999999999995
16,8,False,5,620.741082906723,15,20909,28559,613.9453070163727,6.77949333190918,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False,5,235.49782991409302,5,7109,17852,227.15291714668274,6.979423999786377,64,0,0.36361220578003395,1.0,1.0,0.0,0.0,0.6137633104962665,0.0,0.0,0.0,0.7491035624523835,1.0,1.0,8.552927908114643e-05,0.6868382185025423,0.6868382185025423,0.003398838442767211,0.002832853876783257,0.020741732816171934,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,0.8,2,4.522624483723699,3,3.3992646085801117
17,8,False,5,625.385472536087,15,19768,28888,618.619106054306,6.7505645751953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,5,244.11975526809692,5,6763,15843,223.44717717170715,19.266072750091553,15,0,0.9233417732506392,0.9774619779614258,0.9818411329515374,9.63357432737233e-06,1.0,0.9999983082181174,0.172240370099223,1.132528509656673e-05,0.8519530322471458,0.9233417732506392,0.9774619779614258,0.9818411329515374,9.63350814648087e-06,1.0,0.9999983082181174,0.172240370099223,1.132528509656673e-05,0.8430556209978448,1.0,1.0,1.0,0.6999987005645509,1.0,1.0,1.0,1.0,1.0,2,5.5,6,2.227738671041353,6,2.227738671107534
18,8,False,5,641.5519576072693,15,20546,28296,634.4879014492035,7.0467212200164795,0.009136636383031601,0.016722695644158046,0.11915985707089706,0.005029902920697849,1.4586694412013458e-06,1.2686790839182158e-06,0.9992219825314338,0.9994241089725464,0.9999964954119749,False,False,5,130.94395756721497,5,5431,13049,122.5003981590271,7.027604579925537,13,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,4.64994818063269,4,4.0,4,4.0
19,8,False,5,642.290009021759,15,20132,28988,635.2150175571442,7.058068037033081,0.0034108668799809503,0.028209379166195883,0.28338742563847774,0.0025581587236932412,0.0,0.0,0.004138957630459017,0.9965891331200191,1.0,False,False,5,121.47282195091248,5,2594,14348,113.1350610256195,6.923895597457886,18,0,0.4836773971395355,0.999829278954862,0.999978910122137,0.6832809097990302,1.0,0.9883417982900945,0.854440732047036,0.9721385660528206,0.6928627750070797,0.4836773971395355,0.999829278954862,0.999978910122137,0.6832750532722797,1.0,0.9883417982900945,0.854440732047036,0.9721385660528206,0.6928568482868752,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,5.178295211961194,6,0.4401789180543546,6,0.44019070130130966
